
DEPTH           POR        PORW       BULK       PORT       PORF       PERM         HF         PF         SW         SH       CALC         CL       PORX       PORH        RWA       RMFA
1905.5000       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.006    100.000     71.301      0.000     71.301      0.000      0.000      0.223      0.183
1905.6250       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.006    100.000     71.833      0.000     71.833      0.000      0.000      0.235      0.203
1905.7500       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.006    100.000     72.788      0.000     72.788      0.000      0.000      0.223      0.194
1905.8750       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.006    100.000     73.473      0.000     73.473      0.000      0.000      0.200      0.171
1906.0000       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.006    100.000     74.203      0.000     74.203      0.000      0.000      0.202      0.172
1906.1250       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.006    100.000     74.167      0.000     74.167      0.000      0.000      0.261      0.228
1906.2500       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.006    100.000     74.832      0.000     74.832      0.000      0.000      0.231      0.210
1906.3750       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.006    100.000     74.212      0.000     74.212      0.000      0.000      0.242      0.225
1906.5000       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.007    100.000     74.176      0.000     74.176      0.000      0.000      0.254      0.239
1906.6250       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.007    100.000     74.253      0.000     74.253      0.000      0.000      0.249      0.233
1906.7500       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.007    100.000     73.495      0.000     73.495      0.000      0.000      0.273      0.255
1906.8750       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.007    100.000     72.258      0.000     72.258      0.000      0.000      0.294      0.281
1907.0000       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.007    100.000     71.392      0.000     71.392      0.000      0.000      0.278      0.266
